"Name","Botanical_Name","System_Affected","Properties","Description","Origin","Notes","Toxicity","Dosage","Type"
"Culver's Root (Tall Speedwell)","Veronicastrum Virginicum, Veronica Virginica","indigestion, bile, liver","indigestion in duodenal of small intestine¤chronic indigestion¤laxative (dried root), intestinal cleansing (fresh root)¤tonic¤liver, stimulate bile flow","roots & rhizomes of plant","Canada, USA","","","","Herb"
"Ergot","Claviceps Purpurea, Secale Cornulum","menstrual disorders, bleeding, male disorders","menstrual disorders, leucorrhea, dysmenorrhea, amenorrhea, ¤promoting menstrual flow¤stop blood flow, internal hemorrhaging, intestinal bleeding¤male disorders, enlarged prostate, spermatorrhea, gonorrhea","fungus from rye grains","","","","10-30 drops fluid extract","Herb"
"Fig","Ficus Carica","laxative, skin/sores, bronchials, nose/throat","soothing to irritated surfaces: for warts & sores, before ¤fruit is ripe use milk from point on branch where fruit ¤broken off); Boils- lay opened ripe fruit on boil.¤constipation¤nose & throat (as a tea: sniffed into nose or dropped into ¤ear when lukewarm)¤fdig juice and lemon juice: coughs, asthma, bronchitis","fruit & leaves of tree","","a nutritious food","","","Herb"
"Fireweed","Erechtites Hieracifolia","pain, hemorrhoids, spasms, astringent, colic","astringent¤pain relieving (apply directly for rheumatism, sciatic ¤nerve conditions, gout).¤anti-spasmodic, colic.¤Externally: hemorrhoids","oil squeezed from herb","","","","","Herb"
"Fluellin","Linaria Elatine","bleeding, astringent","astringent, consolidates/strengthens tissues¤bleeding (internal, nose, menstrual)¤as tea for internal, direct application for external","","","","","Tea: 1oz/pint boiling water","Herb"
"Gelsemium (Yellow Jasmine)","Gelsemium Nitidum, Gelsemium Sempervirens","nerves, sedative, bowels","sedative (for insomnia, etc), nerve relaxant (arterial ¤blood vessel nerves particularily)¤Increasing persperation, reduces fever¤Pain of toothache & neuralgia (severe pains along course ¤of a nerve)¤Inflamation of bowels (diarrhea, dysentery)","root of herb","","also called: wild woodbine, yellow jasmine","","1/2-2 grains","Herb"
"Goa","Andira Araroba","tapeworm, skin","Destroys the taenia tapeworm (take internally)¤Skin disease (mix powder w/ vinegar, lemon juice or ¤gylcerine, & apply paste to skin)","yellowish powder in treetrunk","","","","Internal: 3-5 grains in 1tsp honey","Herb"
"Hedge Mustard","Sisymbrium Officale","hoarseness, lungs","hoarseness, weak lungs (take 1tsp every 30 mins until ¤symptoms diminished)","powdered herb","","","","1/2-1 tsp per pint boiling water","Herb"
"Honeysuckle","Lonicera Caprifolium","respiratory, asthma, liver, spleen","respiratory organs, asthma¤pneumonia, bronchitis, flu, colds, TB¤sore throat, expectorant, tonsillitis¤mild laxative, liver, spleen¤ears¤antiviral","flowers/leaves of plant","","","none","5grain flower w/1tsp honey;1oz leaf in 1pint water","Herb"
"Houseleek (Sengreen)","Sempervivum Tectorum","skin afflictions, astringent","bruised leaves placed directly on burns, stings, warts, ¤corns, other skin afflictions.¤Astringent (reducing discharge, drawing tissues together)¤Poultice has cooling effect on inflamed area.","leaves of plant","","","","","Herb"
"Chondroitin","","arthritis","reverses arthritis; works great with Glucosamine Sulfate","nutritional supplement","","","none","","Mineral"
"Ipecac (Ipecacuanha)","Psychotria Ipecacuanha, Cephaelis Ipecacuanha","gums, teeth, expectorant, persperation, amebicidal","gums, teeth: pyorrhea, gum shrinking, tooth ¤inflamation/loosening (mouthwash)¤Internally: increase persperation (dilate blood vessels)¤expectorant¤ inflamation of internal mucous membranes, dysentery¤kills amoebas (30 drops tincture)","root of herb","tropics","mouthwash: 1oz powdered root w/1pint hot water","vomiting if take > than internal dose","internal: 1/2tsp in mouthwash solution","Herb"
"Jambul","Eugenia Jambolana","Diabetes, diuretic, astringent","astringent, diuretic¤diabetes mellitus (lowers blood sugar; take w/ or after ¤meals)","seeds of tree; sometimes bark","India","","","5-30 grains","Herb"
"Jewel Weed (Balsam Weed)","Impatiens Aurea, I. Biflora","diuretic, hemorrhoids, warts/skin, hives","mild purgative, diuretic¤hemorrhoids (fresh plant boiled into lard then applied as ¤ointment)¤apply leaves topically: hives, wheals caused by hairs of ¤stinging nettle, poisonous plants¤warts, corns, ringworm on skin & similar (use juice on ¤skin)¤Jaundice, dropsy (drink 1oz herb w/1pint hot water).","","","","","","Herb"
"John's Bread","Certonia Siliqua","nutrition, voice","nutrition enough to use as basic food for man¤Improve quality of voice.","pods of plant","","","","","Herb"
"Jurubeba","Solanum Insidiosum","liver, spleen, anemia, amenorrhea","liver & spleen disorders¤anemia, amenorrhea (absence of menstruation)","root/fruit of herb","","","","5-30 grains in water","Herb"
"Larkspur","Consolida (Delphinium) Orientalis","parasites, hair lice, asthma, dropsy","Tincture (10 drops): parasites, hair lice, insecticide¤Internally: spasmodic asthma, dropsy","","","","","Tincture: 1oz/1pint pure alchohol, stand 2 weeks","Herb"
"Lemon (Limon)","Citrus Limonum","fever, colds, pain, varicose veins","tonic for colds¤drink for fever, headache, pains, coughs, other cold ¤symptoms¤Lemon Peel: varicose veins, hemorrhoids, kidney stones, ¤fevers","fruit of tree","","for a healthful syrup: mix w/ honey","none","","FruitVeggy"
"Lily Of The Valley","Convallaria Majalis","Heart, diuretic","Similar effect as that of Foxglove or Digitalis, but with ¤no danger of unpleasant disturbances¤Diseases of heart, heart valves¤diuretic","","","","","1tbl 2-3Xs/day; Tea: 1/2oz per 1 pint water","Herb"
"Lycopodium (Fox Tail)","Lycopodium Clavatum","healing, rheumatism, epilepsy, anus, lungs, kidney","rheumatism, epilepsy¤lungs, kidneys¤ground spores dusted over broken skin for healing.¤stomach gas, constipation, liver congestion.¤heals injured mucous membrane, swelling of arteries¤anus itching","spores of creeping plant","","","","1part spore w/9part lactose,1oz this w/1pint water","Herb"
"Masterwort","Imperatoria Ostruthium","spasms, gas, asthma, apoplexy, dyspepsia","antispasmodic, removes gastro-intestinal gases¤asthma, apoplexy (hemorrhage in brain/spine)¤dyspepsia","root of herb","","","","1oz powdered/1pint hot water; 1/2 cup 2-3Xs/day","Herb"
"Mescal Buttons (Pellote)","Lopophora Lewinii, Anhalonium Lewinii","heart, cardiac conditions","heart, angina, dyspnea¤Narcotic (inducesleep/stupor/unconsciousness)","fruit of herb","","","excssive amounts cause vomiting","1 pint hot water over dried fruit, 1tbl/hr","Herb"
"Mistletoe","Viscum Album, Phorandendron Flavescens","epilepsy, nerves, female ailments, heart","epilepsy, hysteria, nervous conditions¤narcotic (induce sleep)¤female ailments, uterus hemorrhages, amenorrhea, ¤dysmenorrhea¤Heart tonic for cases of typhoid fever¤high blood pressure","leaves","","","","","Herb"
"Muira-Puama","Liriosma Ovata","aphrodisiac","aphrodisiac, increase in sexual desire","powdered root of a tree","Amazon","","","10-60 drops; Tea: 1oz/1pint hot water","Herb"
"Night-Blooming Cereus","Cereus Grandiflorus, Cactus Grandiflorus","heart, prostate, bladder/kidney, diuretic","heart activity, cardiac disease, abnormal heart throb, ¤angina, cardiac neuralgia¤prostate¤irritated bladder, congested kidney¤Women: headache during menstruation¤diuretic","stem/flower juice from plant","","Also called: Sweetscented Cactus","","2-10 drops","Herb"
"Nux Vomica (Poison Nut)","Strychnos Nux Vomica","tonic,general health,gastro-intestine,impotence","Tonic/stimulant for general health & body organs¤Bitter for stimulating gastro-intestinal membranes¤impotence¤Neuralgia (nerve pain), chronic constipation","seeds of herb","","","excessively large dose is poisonous","1-3 drops fluid extract of seeds","Herb"
"Oats","Avena Sativa","nutrient, indigestion, skin, nerve, heart, urinary","nutrient, soothing mucilaginous medicine¤indigestion, constipation¤Poultice: itchy skin, ulcers, sore anus, hard formations, ¤psoriasis¤enema, antiseptic, disease preventative¤nerve tonic, brain tissue¤Heart muscles,spasmodic urinary conditions of ¤bladder/ureter¤insomnia¤seminal fluid loss(spermatorrhea)¤freckles & other spots (boil in vinegar,apply)¤gout¤infertility","grain","","","none","drink: 1tbl oatmeal to 1 pint hot water","Other"
"Paraguay Tea (Yerba Mate)","Ilex Paraguayensis","diuretic, stimulant, rheumatism/gout, purgative","diuretic, kidney stones¤has caffeine in leaves¤Large does: purgative¤rheumatism, gout","","South America","used in S. America as a beverage","","prepare as a tea","Herb"
"Pilewort (Lesser Celandine)","Ranunculus Ficaria","hemorrhoids, astringent","hemorrhoids, piles¤astringent, fluid discharges¤for external use: soak in boiling lard for 24 hrs, use as ¤ointment","use entire herb","","","","internal: 1oz/pint boiling water, 1/2 cup 2/day","Herb"
"Pinkroot(Worm Root,Worm Grass)","Spigelia Marilanidca, Spigelie, Spigelia","worms","expels intestinal worms (warning: avoid heavy eating prior ¤to taking; may be taken with lemon juice; prepare as 1 oz ¤to 1 pint hot water; herb has volatile oils, evaporates ¤easily)","use root or whole plant","S. and E. USA","","","child:1tbl 2/day; adult: up to a small cup","Herb"
"Rhatany, Peruvian (Rhatanhia)","Krameria triandra","muscle tonic,astringent,incontinence,gums,diarrhea","Astringent¤tonic (restores strength & tone to muscles)¤stops hemorrhages, discharges of mucus from mucous ¤membranes, fluid discharge, diarrhea¤Incontinence of urine¤Pyorrhea (spongy or bleeding gums; apply powder directly ¤to gums)¤eyes¤The Bark: gingivitis","root or bark of herb","","","none","internal: 1/2 tsp powdered root","Herb"
"Scopolis","Scopola Carniolica, Scopolia Atropoides","sedative, glands, pain, cough","sedative effect on nerves & muscles¤dilates (widen) pupil opening¤pain, cough¤suppresses glandular secretions¤¤dose: 1-5 grains  powdered root, or 1`-5 drops of solution ¤in water","(powdered) root of herb","","","","solution: 1oz root in 1/2 pint hot water","Herb"
"Simaruba (Mountain Damson)","Simaruba Officinalis","appetite, digestion, tonic","loss of appetite (when covalescing from illness)¤digestion¤tonic: strengthen muscles, tones tissues¤¤solution: 1/2oz powdered in 1 pint hot water","bark of root of herb","","","","1-2 tbl every 3hrs until improved","Herb"
"Snake Root","Aristolochia Serpentaria, Aristolochia Reticulata","fever, anti-spasmodic, glands, bilious, pain","fever remedy, especially for typhoid fever.¤increase perseration, glandular stimulant¤pain reliever, anti-spasmodic¤tonic for muscles & tissues¤Bilious conditions (headache, constipate, appetite loss, ¤vomiting bile)","","","","","1-2tbl 2-3Xs/day; Tea:1/2oz in 1pint hot water","Herb"
"Soap Tree (Quillaia)","Quillaja Saponaria","lungs, skin cleanser, diuretic","Internal (1tbl at a time as needed): coughs in chronic ¤bronchitis & lung complaints.¤diuretic.¤prevents uptake of cholesterol and fat¤stimulates immune system¤External: cleanser for ulcers & skin eruptions","tree bark","Chile","used in soap, toothpaste, and mouthwash","","solution: 1/2oz bark in 1pint hot water","Herb"
"Turpentine","Pinus Palustris, Pinus Maritima","chest, respiratory, kidney/bladder, worms,bleeding","urinary apparatus, chronic disease of kidney & bladder, ¤gonorrhea¤Mucous membranes of respiratory organs¤liniment for rheumatism, chest¤stops bleeding¤With castor oil destroys tapeworms¤Pure vapor of oil causes coughing, causing expulsion of ¤products F/ lungs¤antiseptic¤Terebene(oil mixed w/sulphuric acid): cough, hay-fever ¤spray (w/cocaine)","oil F/ wood of evergreen tree","S. USA","","excess dose: severe illness or death","","Herb"
"White Bryony(English Mandrake)","Bryonia Alba, Bryonia Dioica","diuretic, lungs, dropsy, tonsile, heart","diuretic¤Pleurisy (lungs), bronchitis, cough, influenza, pneumonia¤dropsy (glands), tonsilitis¤heart disease (normalize inflamations brought on by ¤rheumatism or gout)¤Asthma, colds, flu¤¤Tincture: 1oz powdered herb to 1pint pure grain alcohol","white root of climbing vine","Europe","","","15 grains or 1 tsp tincture","Herb"
"Vanadyl Sulfate","","diabetes","permanently reverses diabetes","avail over counter","","","","","Mineral"
"Horseradish","Armoracia Rusticana","allergies, sinuses","Allergies (1 spoonfull/day until symptoms subside, ¤once/month thereafter)¤Sinusitis","","","used as a (hot) spice","none","","Herb"
"Evening Primrose","Oenothera Biennis","PMS,skin,stroke,blood pressure,Parkinson's,HIV","PMS,skin/scales, scabies, diabetic nerve damage¤possible treatement for Alcoholism & obesity.¤heart disease, cancer, Parkinson's Disease, Raynard's ¤Disease(external), eczema¤anti-clotting, lowers blood pressure, stroke, heart disease¤Angina,dry mouth,headache,pain¤auto-immune disorders,endometriosis, HIV, MS¤Oil is rich in GLA (gamma-linolenic acid)","oil from seeds of blossom","North America","source of amino acid tryptophan","none","","Herb"
"Homocysteine","","","¤¤Warning: high levels in older adults may increase risk of ¤hardening and clogging of coronary arteries","","","","","","Amino Acid"
"Brazil Nut","Bertholettia Excelsa","memory,lecithin source,cataracts,antioxidant,skin","richest source of lecithin, choline¤memory, Alzheimer's¤arthritis¤source selenium, Vitamin E¤prevents cataracts¤cataracts¤lowers cholesterol¤Externally as an oil: skin, psoriasis","","","","none","","FruitVeggy"
"Fava Beans","Vicia Faba","memory, Parkinson's, erection","memory¤source of lecithin, L-dopa¤erection problems, aphrodisiac¤Parkinson's Disease¤","","","16oz can is enough to have effect on Parkinson's","none","","FruitVeggy"
"Chasteberry","Vitex Agnus-Castus","female and menstrual problems","amenorrhea, restoration of menstruation¤breast tenderness¤breast feeding problems, milk flow¤menopause¤menstrual cramps¤PMS","berries from Chastetree","","","none","","Herb"
"Carrot","Daucus Carota","blood, skin, cataracts, smoking, diarrhea","high blood pressure, high cholesterol¤liver problems¤Wrinkles, skin (may be applied in liquified form to ¤sunburns & skin conditions)¤prevents: cataracts, strokes¤cessation of smoking¤angina, anti-asthmatic¤Cooked: diarrhea","","","","none","","FruitVeggy"
"Celery Seed","Apium Graveolens","Amenorrhea, dizziness, gout","Amenorrhea (period problems)¤dizziness¤gout, lowers uric acid levels","","","","","","Herb"
"Khella","Ammi Majus","Angina, blood, heart","angina, increased blood flow¤cardiac arrhythmia¤kidney problems","","","the source of amiodarone (Cordarone)","","","Herb"
"Kudzu (Ge Gen)","Pueraria Lobata","blood, heart, hangover, shoulder","Angina, increased blood flow, decrease high blood pressure¤Anti-hangover (take 1 or 2 capsules with first drink; also ¤good morning after)¤Shoulder¤relieve thirst, fevers, flu, and vomiting","a green vine","China","","","","Herb"
